TR Period,TR Start Date,TR End Date,Country/Region,Account Requests Received,Accounts Specified in Requests,Requests Challenged in Part or Rejected in Full,Requests where Only Non-Content Data Provided,Requests where Content Provided,Percentage of Requests where Data Provided
2022 H1,1/1/22,6/30/22,Bermuda,1,2,0,0,1,100%
2022 H1,1/1/22,6/30/22,Brazil,2135,13392,7,476,1289,83%
2022 H1,1/1/22,6/30/22,Canada,37,45,1,29,0,78%
2022 H1,1/1/22,6/30/22,Chile,9,9,0,4,1,56%
2022 H1,1/1/22,6/30/22,China mainland,43,289,2,23,10,77%
2022 H1,1/1/22,6/30/22,Colombia,1,2,1,0,0,0%
2022 H1,1/1/22,6/30/22,Costa Rica,1,1,1,0,0,0%
2022 H1,1/1/22,6/30/22,Czech Republic,20,25,1,12,0,60%
2022 H1,1/1/22,6/30/22,Denmark,4,4,0,3,1,100%
2022 H1,1/1/22,6/30/22,Estonia,1,1,1,0,0,0%
2022 H1,1/1/22,6/30/22,Finland,5,6,0,4,0,80%
2022 H1,1/1/22,6/30/22,France,392,541,42,256,0,65%
2022 H1,1/1/22,6/30/22,Germany,860,1306,100,613,0,71%
2022 H1,1/1/22,6/30/22,Greece,7,7,7,0,0,0%
2022 H1,1/1/22,6/30/22,Hong Kong,4,7,1,2,0,50%
2022 H1,1/1/22,6/30/22,Hungary,3,3,1,0,0,0%
2022 H1,1/1/22,6/30/22,India,36,47,24,3,0,8%
2022 H1,1/1/22,6/30/22,Ireland,33,42,9,24,0,73%
2022 H1,1/1/22,6/30/22,Israel,9,35,1,5,0,56%
2022 H1,1/1/22,6/30/22,Italy,114,136,31,50,0,44%
2022 H1,1/1/22,6/30/22,Japan,412,586,16,312,0,76%
2022 H1,1/1/22,6/30/22,Kosovo,1,1,1,0,0,0%
2022 H1,1/1/22,6/30/22,Luxembourg,2,13,0,2,0,100%
2022 H1,1/1/22,6/30/22,Macau,2,2,0,2,0,100%
2022 H1,1/1/22,6/30/22,Malta,4,4,2,2,0,50%
2022 H1,1/1/22,6/30/22,Mexico,6,7,1,3,0,50%
2022 H1,1/1/22,6/30/22,Moldova,1,1,1,0,0,0%
2022 H1,1/1/22,6/30/22,Monaco,1,1,1,0,0,0%
2022 H1,1/1/22,6/30/22,Netherlands,48,145,7,34,0,71%
2022 H1,1/1/22,6/30/22,Norway,5,7,4,0,0,0%
2022 H1,1/1/22,6/30/22,Paraguay,2,2,2,0,0,0%
2022 H1,1/1/22,6/30/22,Poland,34,61,22,7,0,21%
2022 H1,1/1/22,6/30/22,Portugal,7,8,1,5,0,71%
2022 H1,1/1/22,6/30/22,Qatar,1,4,0,1,0,100%
2022 H1,1/1/22,6/30/22,Romania,6,8,1,4,0,67%
2022 H1,1/1/22,6/30/22,Russia,24,32,20,1,0,4%
2022 H1,1/1/22,6/30/22,Singapore,46,53,4,26,0,57%
2022 H1,1/1/22,6/30/22,Slovakia,1,1,1,0,0,0%
2022 H1,1/1/22,6/30/22,South Korea,44,50,0,35,0,80%
2022 H1,1/1/22,6/30/22,Spain,79,114,23,34,0,43%
2022 H1,1/1/22,6/30/22,Sweden,72,119,1,64,1,90%
2022 H1,1/1/22,6/30/22,Switzerland,27,37,8,17,1,67%
2022 H1,1/1/22,6/30/22,Taiwan,312,676,142,157,0,50%
2022 H1,1/1/22,6/30/22,Thailand,1,1,1,0,0,0%
2022 H1,1/1/22,6/30/22,Türkiye,25,28,12,9,0,36%
2022 H1,1/1/22,6/30/22,Ukraine,2,3,0,1,1,100%
2022 H1,1/1/22,6/30/22,United Kingdom,950,1134,13,828,0,87%
2022 H1,1/1/22,6/30/22,United States of America,7944,52749,507,3795,3354,90%
2022 H2,7/1/22,12/31/22,Andorra,1,1,0,0,0,0%
2022 H2,7/1/22,12/31/22,Argentina,3,8,2,0,0,0%
2022 H2,7/1/22,12/31/22,Australia,221,298,27,141,0,64%
2022 H2,7/1/22,12/31/22,Austria,26,27,24,2,0,8%
2022 H2,7/1/22,12/31/22,Belgium,42,49,6,34,0,81%
2022 H2,7/1/22,12/31/22,Brazil,2518,13093,54,561,1537,83%
2022 H2,7/1/22,12/31/22,Bulgaria,1,1,1,1,0,100%
2022 H2,7/1/22,12/31/22,Canada,39,63,1,34,2,92%
2022 H2,7/1/22,12/31/22,Chile,4,4,0,2,0,50%
2022 H2,7/1/22,12/31/22,China mainland,49,149,10,30,5,71%
2022 H2,7/1/22,12/31/22,Colombia,1,1,0,1,0,100%
2022 H2,7/1/22,12/31/22,Costa Rica,5,5,0,5,0,100%
2022 H2,7/1/22,12/31/22,Czech Republic,18,27,4,8,0,44%
2022 H2,7/1/22,12/31/22,Denmark,4,4,0,4,0,100%
2022 H2,7/1/22,12/31/22,Dominican Republic,1,1,0,0,0,0%
2022 H2,7/1/22,12/31/22,Estonia,1,1,1,0,0,0%
2022 H2,7/1/22,12/31/22,Finland,13,37,1,10,1,85%
2022 H2,7/1/22,12/31/22,France,333,421,44,192,2,58%
2022 H2,7/1/22,12/31/22,Germany,892,1510,168,562,0,63%
2022 H2,7/1/22,12/31/22,Greece,4,4,4,0,0,0%
2022 H2,7/1/22,12/31/22,Hong Kong,6,39,1,3,0,50%
2022 H2,7/1/22,12/31/22,Hungary,10,12,5,5,0,50%
2022 H2,7/1/22,12/31/22,India,63,101,50,5,0,8%
2022 H2,7/1/22,12/31/22,Indonesia,1,2,0,0,1,100%
2022 H2,7/1/22,12/31/22,Ireland,31,54,4,22,0,71%
2022 H2,7/1/22,12/31/22,Israel,8,11,1,5,1,75%
2022 H2,7/1/22,12/31/22,Italy,138,147,24,35,0,25%
2022 H2,7/1/22,12/31/22,Japan,293,455,31,207,0,71%
2022 H2,7/1/22,12/31/22,Lithuania,1,3,0,1,0,100%
2022 H2,7/1/22,12/31/22,Macau,1,1,1,0,0,0%
2022 H2,7/1/22,12/31/22,Malta,2,2,1,1,0,50%
2022 H2,7/1/22,12/31/22,Mexico,6,12,3,1,0,17%
2022 H2,7/1/22,12/31/22,Netherlands,61,128,12,44,0,72%
2022 H2,7/1/22,12/31/22,New Zealand,6,11,3,3,0,50%
2022 H2,7/1/22,12/31/22,Norway,5,16,0,3,0,60%
2022 H2,7/1/22,12/31/22,Pakistan,2,5,1,0,0,0%
2022 H2,7/1/22,12/31/22,Peru,2,2,2,0,0,0%
2022 H2,7/1/22,12/31/22,Poland,40,47,24,9,1,25%
2022 H2,7/1/22,12/31/22,Portugal,14,16,10,2,0,14%
2022 H2,7/1/22,12/31/22,Romania,3,6,1,1,0,33%
2022 H2,7/1/22,12/31/22,Russia,9,13,9,0,0,0%
2022 H2,7/1/22,12/31/22,Singapore,41,53,7,23,0,56%
2022 H2,7/1/22,12/31/22,Slovakia,1,1,1,0,0,0%
2022 H2,7/1/22,12/31/22,South Korea,28,39,5,14,0,50%
2022 H2,7/1/22,12/31/22,Spain,76,94,30,33,0,43%
2022 H2,7/1/22,12/31/22,Sweden,82,108,5,68,1,84%
2022 H2,7/1/22,12/31/22,Switzerland,28,39,9,14,1,54%
2022 H2,7/1/22,12/31/22,Taiwan,223,421,119,97,0,43%
2022 H2,7/1/22,12/31/22,Türkiye,21,25,14,3,1,19%
2022 H2,7/1/22,12/31/22,Turks and Caicos Islands,1,1,0,0,0,0%
2022 H2,7/1/22,12/31/22,United Kingdom,1145,1334,73,973,0,85%
2022 H2,7/1/22,12/31/22,United States of America,8480,343718,549,3884,3801,91%
2023 H1,1/1/23,6/30/23,Argentina,5,6,2,0,0,0%
2023 H1,1/1/23,6/30/23,Australia,267,376,45,153,0,57%
2023 H1,1/1/23,6/30/23,Austria,70,83,58,4,1,7%
2023 H1,1/1/23,6/30/23,Bahrain,1,1,1,0,0,0%
2023 H1,1/1/23,6/30/23,Bangladesh,1,1,1,0,0,0%
2023 H1,1/1/23,6/30/23,Belgium,47,62,2,32,0,68%
2023 H1,1/1/23,6/30/23,Brazil,3200,14584,485,616,1674,72%
2023 H1,1/1/23,6/30/23,Bulgaria,1,1,1,0,0,0%
2023 H1,1/1/23,6/30/23,Canada,69,95,4,61,2,91%
2023 H1,1/1/23,6/30/23,Chile,5,6,2,3,0,60%
2023 H1,1/1/23,6/30/23,China mainland,104,636,11,60,8,65%
2023 H1,1/1/23,6/30/23,Costa Rica,1,1,0,1,0,100%
2023 H1,1/1/23,6/30/23,Cyprus,1,1,0,1,0,100%
2023 H1,1/1/23,6/30/23,Czech Republic,120,154,23,84,0,70%
2023 H1,1/1/23,6/30/23,Denmark,6,7,1,4,0,67%
2023 H1,1/1/23,6/30/23,Dominican Republic,2,3,1,0,0,0%
2023 H1,1/1/23,6/30/23,Ecuador,1,2,1,0,0,0%
2023 H1,1/1/23,6/30/23,Estonia,1,1,1,0,0,0%
2023 H1,1/1/23,6/30/23,Finland,15,27,2,10,1,73%
2023 H1,1/1/23,6/30/23,France,436,571,39,269,2,62%
2023 H1,1/1/23,6/30/23,Germany,1660,2341,330,966,4,58%
2023 H1,1/1/23,6/30/23,Greece,4,4,4,0,0,0%
2023 H1,1/1/23,6/30/23,Hong Kong,5,7,2,3,0,60%
2023 H1,1/1/23,6/30/23,Hungary,35,40,24,7,0,20%
2023 H1,1/1/23,6/30/23,India,94,217,58,5,0,5%
2023 H1,1/1/23,6/30/23,Ireland,30,44,2,22,1,77%
2023 H1,1/1/23,6/30/23,Israel,19,49,1,15,0,79%
2023 H1,1/1/23,6/30/23,Italy,254,267,35,85,0,33%
2023 H1,1/1/23,6/30/23,Japan,358,549,135,172,0,48%
2023 H1,1/1/23,6/30/23,Kosovo,1,6,0,1,0,100%
2023 H1,1/1/23,6/30/23,Kuwait,1,1,1,0,0,0%
2023 H1,1/1/23,6/30/23,Kyrgyzstan,1,5,1,0,0,0%
2023 H1,1/1/23,6/30/23,Latvia,1,1,0,1,0,100%
2023 H1,1/1/23,6/30/23,Luxembourg,1,1,1,0,0,0%
2023 H1,1/1/23,6/30/23,Macau,1,1,1,0,0,0%
2023 H1,1/1/23,6/30/23,Malta,4,4,2,1,0,25%
2023 H1,1/1/23,6/30/23,Mexico,4,4,1,3,0,75%
2023 H1,1/1/23,6/30/23,Netherlands,47,92,9,23,0,49%
2023 H1,1/1/23,6/30/23,New Zealand,6,10,1,1,0,17%
2023 H1,1/1/23,6/30/23,Norway,10,26,3,5,1,60%
2023 H1,1/1/23,6/30/23,Pakistan,2,3,2,0,0,0%
2023 H1,1/1/23,6/30/23,Peru,1,1,1,0,0,0%
2023 H1,1/1/23,6/30/23,Poland,66,76,43,12,1,20%
2023 H1,1/1/23,6/30/23,Portugal,10,10,6,0,0,0%
2023 H1,1/1/23,6/30/23,Qatar,2,7,1,0,0,0%
2023 H1,1/1/23,6/30/23,Romania,7,11,1,5,0,71%
2023 H1,1/1/23,6/30/23,Russia,2,2,1,0,0,0%
2023 H1,1/1/23,6/30/23,Singapore,29,35,7,14,0,48%
2023 H1,1/1/23,6/30/23,Slovakia,2,5,0,2,0,100%
2023 H1,1/1/23,6/30/23,Slovenia,1,1,1,0,0,0%
2023 H1,1/1/23,6/30/23,South Africa,1,3,1,0,0,0%
2023 H1,1/1/23,6/30/23,South Korea,46,53,6,29,0,63%
2023 H1,1/1/23,6/30/23,Spain,125,146,52,35,0,28%
2023 H1,1/1/23,6/30/23,Sweden,205,258,3,171,0,83%
2023 H1,1/1/23,6/30/23,Switzerland,42,53,15,19,0,45%
2023 H1,1/1/23,6/30/23,Taiwan,173,364,14,132,0,76%
2023 H1,1/1/23,6/30/23,Thailand,2,3,1,0,0,0%
2023 H1,1/1/23,6/30/23,Türkiye,33,156,17,12,0,36%
2023 H1,1/1/23,6/30/23,Ukraine,2,2,0,1,0,50%
2023 H1,1/1/23,6/30/23,United Arab Emirates,1,6,1,0,0,0%
2023 H1,1/1/23,6/30/23,United Kingdom,1190,1437,79,929,1,78%
2023 H1,1/1/23,6/30/23,United States of America,9813,33771,453,4508,4356,90%
2023 H1,1/1/23,6/30/23,Vietnam,2,2,2,0,0,0%
